p1_mean,p1_std,p1_5_freq,p1_4_freq,p1_6_freq,p1_high_freq,p1_low_freq,p1_entropy,p2_mean,p2_std,p2_high_freq,p1_win_rate,mean_diff,diff_std,label,mode
2.25,1.5517392618742702,0.15,0.1,0.0,0.25,0.75,1.9854752900138593,3.35,1.6630662866176473,0.5,0.2,-1.1,2.0235456115702615,0,0
2.4,1.5694450913417908,0.15,0.15,0.0,0.3,0.7,2.082228711700326,3.5,1.7621756887140216,0.55,0.2,-1.1,2.0235456115702615,0,0
2.4,1.569445091341791,0.15,0.15,0.0,0.3,0.7,2.082228711700326,3.35,1.7554426642213128,0.5,0.25,-0.95,2.139232523470435,0,0
2.3,1.4545753585442764,0.1,0.15,0.0,0.25,0.75,2.082228711700326,3.2,1.7350868323485926,0.45,0.3,-0.9,2.1740091511936384,0,0
2.55,1.637552731171861,0.1,0.15,0.05,0.3,0.7,2.3086949609066716,3.05,1.700619082322051,0.4,0.35,-0.5,2.305599590927317,0,0
2.65,1.5985190514644287,0.1,0.15,0.05,0.3,0.7,2.3638651132946835,3.05,1.700619082322051,0.4,0.4,-0.4,2.326053807586891,0,0
2.55,1.5035046776746235,0.05,0.15,0.05,0.25,0.75,2.283383089572843,2.95,1.7006190823220513,0.35,0.4,-0.4,2.326053807586891,0,0
2.7,1.4903196407411894,0.05,0.2,0.05,0.3,0.7,2.3282129371848312,3.2,1.7651599003161753,0.4,0.4,-0.5,2.3508117299081364,0,0
2.75,1.51744244666721,0.05,0.25,0.05,0.35,0.65,2.3282129371848312,3.25,1.8317377426626162,0.4,0.4,-0.5,2.3508117299081364,0,0
2.7,1.5593520921743174,0.05,0.25,0.05,0.35,0.65,2.2588718397891903,3.3,1.7800059136507325,0.4,0.35,-0.6,2.326053807586891,0,0
2.7,1.5593520921743174,0.05,0.25,0.05,0.35,0.65,2.2588718397891903,3.05,1.7312909694943341,0.35,0.4,-0.35,2.3232237130876205,0,0
2.8,1.5078740698501039,0.05,0.25,0.05,0.35,0.65,2.285475288571164,2.9,1.6827296120792614,0.3,0.45,-0.1,2.1740091511936384,0,0
2.9,1.4473205733717955,0.05,0.25,0.05,0.35,0.65,2.285475288571164,2.95,1.669383750149485,0.3,0.45,-0.05,2.1636956688426454,0,0
3.1,1.4473205733717953,0.1,0.25,0.05,0.4,0.6,2.3659573122930047,2.8,1.6091841672756189,0.25,0.5,0.3,2.0545200489600846,0,0
2.95,1.394538218230416,0.05,0.25,0.05,0.35,0.65,2.3282129371848312,3.0,1.6222142113076254,0.3,0.45,-0.05,1.9861361590045288,0,0
